"tecnologia","categoria","asimetria_pp","par"
"IA","Fabricação de produtos de metal",-2.1,"projeto_producao"
"IA","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",36.4,"admin_producao"
"IA","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",3.5,"admin_projeto"
"IA","Fabricação de equipamentos de informática, produtos eletrônicos e ópticos",32.9,"projeto_producao"
"IA","Fabricação de máquinas, aparelhos e materiais elétricos",17.1,"admin_producao"
"IA","Fabricação de máquinas, aparelhos e materiais elétricos",7.1,"admin_projeto"
"IA","Fabricação de máquinas, aparelhos e materiais elétricos",10,"projeto_producao"
"IA","Fabricação de máquinas e equipamentos",21.5,"admin_producao"
"IA","Fabricação de máquinas e equipamentos",3.4,"admin_projeto"
"IA","Fabricação de máquinas e equipamentos",18.1,"projeto_producao"
"IA","Fabricação de veículos automotores, reboques e carrocerias",12.7,"admin_producao"
"IA","Fabricação de veículos automotores, reboques e carrocerias",5.6,"admin_projeto"
"IA","Fabricação de veículos automotores, reboques e carrocerias",7.1,"projeto_producao"
"IA","Fabricação de outros equipamentos de transporte",20.6,"admin_producao"
"IA","Fabricação de outros equipamentos de transporte",5.5,"admin_projeto"
"IA","Fabricação de outros equipamentos de transporte",15.1,"projeto_producao"
"IA","Fabricação de móveis",12.7,"admin_producao"
"IA","Fabricação de móveis",1.6,"admin_projeto"
"IA","Fabricação de móveis",11.1,"projeto_producao"
"IA","Fabricação de produtos diversos",28.8,"admin_producao"
"IA","Fabricação de produtos diversos",6.9,"admin_projeto"
"IA","Fabricação de produtos diversos",21.9,"projeto_producao"
"IA","Manutenção, reparação e instalação de máquinas e equipamentos",6.7,"admin_producao"
"IA","Manutenção, reparação e instalação de máquinas e equipamentos",1.5,"admin_projeto"
"IA","Manutenção, reparação e instalação de máquinas e equipamentos",5.2,"projeto_producao"
"IoT","Fabricação de produtos alimentícios",-11.8,"admin_producao"
"IoT","Fabricação de produtos alimentícios",2.2,"admin_projeto"
"IoT","Fabricação de produtos alimentícios",-14,"projeto_producao"
"IoT","Fabricação de bebidas",2.8,"admin_producao"
"IoT","Fabricação de bebidas",1.5,"admin_projeto"
"IoT","Fabricação de bebidas",1.3,"projeto_producao"
"IoT","Fabricação de produtos do fumo",0,"admin_producao"
"IoT","Fabricação de produtos do fumo",9.1,"admin_projeto"
"IoT","Fabricação de produtos do fumo",-9.1,"projeto_producao"
"IoT","Fabricação de produtos têxteis",2.3,"admin_producao"
"IoT","Fabricação de produtos têxteis",11.9,"admin_projeto"
"IoT","Fabricação de produtos têxteis",-9.6,"projeto_producao"
"IoT","Confecção de artigos do vestuário e acessórios",-2.6,"admin_producao"
"IoT","Confecção de artigos do vestuário e acessórios",3.5,"admin_projeto"
"IoT","Confecção de artigos do vestuário e acessórios",-6.1,"projeto_producao"
"IoT","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",-1.1,"admin_producao"
"IoT","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",2.5,"admin_projeto"
"IoT","Preparação de couros e fabricação de artefatos de couro, artigos de viagem e calçados",-3.6,"projeto_producao"
"IoT","Fabricação de produtos de madeira",-12.8,"admin_producao"
"IoT","Fabricação de produtos de madeira",0.6,"admin_projeto"
"IoT","Fabricação de produtos de madeira",-13.4,"projeto_producao"
"IoT","Fabricação de celulose, papel e produtos de papel",-11.9,"admin_producao"
